GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,Research,Chance_of_Admit
295,96,2,1,2,0,0
316,98,1,1,2,0,0
304,97,2,1,2,0,0
299,94,1,1,1,0,0
302,99,1,2,2,0,0
313,101,3,2,3,0,0
318,107,3,3,3,1,1
325,110,4,3,4,1,1
303,100,2,3,3,1,0
300,102,3,3,2,0,0
297,98,2,2,3,0,0
317,106,2,2,3,0,1
327,109,3,3,4,1,1
301,104,2,3,3,1,1
314,105,2,2,2,0,1
321,107,2,2,1,0,1
322,110,3,4,5,1,1
334,116,4,4,3,1,1
338,115,5,4,5,1,1
306,103,2,2,3,0,1
313,102,3,3,4,1,1
330,114,4,4,3,1,1
320,104,3,3,4,1,1
311,98,1,1,2,0,0
298,92,1,2,2,0,0
301,98,1,2,3,1,1
310,103,2,2,2,0,1
324,110,3,3,3,1,1
336,119,4,4,4,1,1
321,109,3,3,3,1,1
315,105,2,2,2,0,0
304,101,2,2,2,0,0
297,96,2,2,2,0,0
290,100,1,1,2,0,0
303,98,1,2,2,0,0
311,99,1,2,3,1,1
322,104,3,3,4,1,1
319,105,3,3,3,1,1
324,110,4,4,4,1,1
300,100,3,3,3,0,0
340,113,4,5,5,1,1
335,117,5,5,5,1,1
302,101,2,2,3,0,0
307,105,2,2,3,0,0
296,97,2,1,2,0,0
320,108,3,3,4,1,1
314,102,2,2,2,0,0
318,106,3,2,3,0,1
326,112,4,4,3,1,1
317,104,2,3,3,0,1
329,111,4,4,4,1,1
324,110,3,3,3,1,1
325,107,3,3,3,1,1
330,116,4,5,4,1,1
312,103,3,3,4,0,1
333,117,4,5,4,1,1
304,100,2,3,3,0,0
315,105,2,3,3,0,1
324,109,3,3,3,1,1
330,116,4,4,3,1,1
311,101,3,2,2,1,0
302,99,3,2,3,0,0
322,103,4,3,2,1,0
298,100,3,2,4,1,0
297,101,3,2,4,1,0
300,98,1,2,2,0,0
301,96,1,3,4,0,0
313,94,2,2,1,0,0
314,102,4,2,2,1,0
317,101,3,3,2,1,0
321,110,4,3,4,1,1
327,106,4,4,4,1,1
315,104,3,4,2,0,0
316,103,3,3,2,0,0
309,111,2,2,4,0,0
308,102,2,2,3,1,0
299,100,3,2,3,0,0
321,112,3,3,4,1,1
322,112,4,3,2,1,1
334,119,5,4,5,1,1
325,114,5,4,5,1,1
323,111,5,4,5,1,1
312,106,3,3,5,0,1
310,101,3,3,5,1,1
316,103,2,2,4,0,1
340,115,5,5,4,1,1
311,104,3,4,3,1,1
320,112,2,3,3,1,1
324,112,4,4,4,1,1
316,111,4,4,5,0,1
306,103,3,3,3,0,0
309,105,2,2,4,0,0
310,110,1,1,4,1,0
317,106,1,1,3,1,0
318,110,1,2,3,1,1
312,105,2,1,3,0,1
305,104,2,2,1,0,0
332,112,1,1,3,1,1
331,116,4,4,4,1,1
321,114,5,4,4,1,1
324,113,5,4,5,1,1
328,116,5,4,5,1,1
327,118,4,5,5,1,1
320,108,3,3,5,1,1
312,109,2,2,4,0,1
315,101,3,3,4,0,1
320,112,4,3,4,1,1
324,113,4,4,4,1,1
328,116,4,5,3,1,1
319,103,3,2,4,1,1
310,105,2,3,3,0,1
305,102,2,1,2,0,0
299,100,2,2,2,0,0
295,99,1,2,1,0,0
312,100,1,3,3,1,1
329,113,4,4,3,1,1
319,105,4,4,4,1,1
301,102,3,2,2,1,1
307,105,4,3,3,0,0
304,107,3,3,3,0,0
298,97,2,2,3,0,0
305,96,4,3,4,0,0
314,99,4,3,4,1,1
318,101,5,3,5,1,1
323,110,4,4,5,1,1
326,114,4,4,3,1,1
320,110,5,4,4,1,1
311,103,3,2,4,0,0
327,116,4,4,4,1,1
316,102,2,4,3,0,1
308,105,4,3,2,1,1
300,101,3,3,2,0,0
304,104,3,2,2,0,0
309,105,4,3,2,0,0
318,103,3,4,4,1,1
325,110,4,4,4,1,1
321,102,3,3,4,1,1
323,107,4,3,2,1,1
328,113,4,4,2,1,1
304,103,5,5,3,0,1
317,106,3,3,3,1,1
311,101,2,2,3,1,1
319,102,3,2,2,0,1
327,115,4,3,4,0,1
322,112,3,3,4,1,1
302,110,3,4,4,0,0
307,105,2,2,4,1,1
297,99,4,3,3,0,0
298,101,4,2,4,1,0
300,95,2,3,1,1,0
301,99,3,2,2,1,1
332,108,5,4,4,1,1
337,117,5,5,5,1,1
330,120,5,4,5,1,1
312,103,4,4,5,0,1
327,113,4,4,4,0,1
